Survey,Year,Quarter,Ship,AphiaID,Species,LngtClass,Sex,Maturity,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10
BTS,2003,3,COR,127160,Solea solea,400,F,-9,0,0,0,0,0,2,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,410,F,-9,0,0,2,0,0,0,0,0,0,2,0
BTS,2003,3,COR,127160,Solea solea,420,F,-9,0,0,0,0,0,0,2,2,0,0,2
BTS,2003,3,COR,127160,Solea solea,430,F,-9,0,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,440,F,-9,0,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,450,F,-9,0,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,82,F,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,82,M,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,83,F,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,84,F,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,84,M,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,85,F,-9,0,1,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,86,M,-9,2,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,89,F,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,89,M,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,91,M,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,92,F,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,93,F,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,94,F,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,94,M,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,95,F,-9,2,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,95,M,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,96,M,-9,2,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,98,M,-9,2,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,101,M,-9,2,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,102,M,-9,2,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,103,M,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,104,M,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,105,F,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,105,M,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,106,M,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,107,M,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,110,F,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,111,M,-9,2,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,112,F,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,112,M,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,113,F,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,114,F,-9,0,1,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,114,M,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,116,M,-9,3,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,121,F,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,121,M,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,122,M,-9,2,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,123,F,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,123,M,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,124,F,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,124,M,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,125,F,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,125,M,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,126,M,-9,2,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,127,F,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,127,M,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,129,M,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,131,F,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,131,M,-9,3,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,133,F,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,134,F,-9,1,1,0,0,0,0,0,0,0,0,0
BTS,2003,3,ISI,127143,Pleuronectes platessa,134,M,-9,0,1,0,0,0,0,0,0,0,0,0
